AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
21,Good,0,0,13,0,0,0,21,0
47,Good,1,0,42,0,0,0,47,0
48,Good,1,0,48,0,1,0,29,0
54,Moderate,1,0,20,0,0,0,54,2
60,Moderate,1,0,44,0,3,0,60,2
166,Unhealthy,4,0,8,0,19,0,166,3
27,Good,0,0,23,0,1,0,27,0
23,Good,1,0,7,0,1,0,23,0
31,Good,1,0,13,0,0,0,31,0
88,Moderate,3,0,13,0,9,0,88,2
90,Moderate,2,0,22,0,9,0,90,2
28,Good,1,0,15,0,0,0,28,0
51,Moderate,1,0,38,0,0,0,51,2
170,Unhealthy,1,0,38,0,0,0,170,3
22,Good,0,0,9,0,1,0,22,0
168,Unhealthy,4,0,168,2,1,0,156,3
40,Good,1,0,40,0,0,0,32,0
47,Good,1,0,27,0,2,0,47,0
59,Moderate,1,0,32,0,0,0,59,2
133,Unhealthy for Sensitive Groups,4,0,23,0,3,0,133,4
29,Good,1,0,29,0,1,0,7,0
73,Moderate,2,0,2,0,8,0,73,2
50,Good,0,0,24,0,0,0,50,0
25,Good,0,0,9,0,1,0,25,0
90,Moderate,3,0,18,0,2,0,90,2
81,Moderate,2,0,26,0,3,0,81,2
29,Good,0,0,20,0,1,0,29,0
21,Good,0,0,8,0,1,0,21,0
44,Good,1,0,16,0,1,0,44,0
65,Moderate,1,0,12,0,0,0,65,2
66,Moderate,2,0,7,0,6,0,66,2
53,Moderate,1,0,28,0,10,0,53,2
56,Moderate,0,0,23,0,0,0,56,2
57,Moderate,1,0,26,0,3,0,57,2
62,Moderate,0,0,35,0,0,0,62,2
167,Unhealthy,4,0,167,2,1,0,107,4
49,Good,1,0,27,0,4,0,49,0
55,Moderate,2,0,25,0,11,0,55,2
34,Good,1,0,34,0,0,0,32,0
80,Moderate,1,0,25,0,0,0,80,2
163,Unhealthy,2,0,92,1,0,0,163,3
126,Unhealthy for Sensitive Groups,4,0,3,0,36,0,126,4
63,Moderate,2,0,9,0,22,0,63,2
53,Moderate,2,0,27,0,10,0,53,2
86,Moderate,2,0,38,0,10,0,86,2
47,Good,2,0,47,0,0,0,25,0
78,Moderate,2,0,25,0,7,0,78,2
61,Moderate,2,0,61,1,0,0,54,2
112,Unhealthy for Sensitive Groups,2,0,44,0,4,0,112,4
27,Good,0,0,6,0,1,0,27,0
155,Unhealthy,3,0,155,2,2,0,151,3
121,Unhealthy for Sensitive Groups,4,0,24,0,0,0,121,4
160,Unhealthy,3,0,138,3,5,0,160,3
144,Unhealthy for Sensitive Groups,4,0,109,3,9,0,144,4
69,Moderate,2,0,48,0,0,0,69,2
47,Good,1,0,34,0,3,0,47,0
69,Moderate,1,0,34,0,4,0,69,2
84,Moderate,3,0,9,0,24,0,84,2
64,Moderate,1,0,32,0,6,0,64,2
20,Good,1,0,20,0,1,0,10,0
38,Good,1,0,30,0,3,0,38,0
59,Moderate,1,0,27,0,3,0,59,2
67,Moderate,1,0,30,0,5,0,67,2
75,Moderate,2,0,13,0,16,0,75,2
60,Moderate,2,0,18,0,21,0,60,2
22,Good,1,0,13,0,0,0,22,0
36,Good,1,0,36,0,0,0,25,0
41,Good,1,0,30,0,8,0,41,0
44,Good,1,0,28,0,2,0,44,0
29,Good,1,0,26,0,1,0,29,0
168,Unhealthy,3,0,168,2,5,0,99,2
25,Good,1,0,25,0,3,0,23,0
41,Good,1,0,26,0,4,0,41,0
36,Good,0,0,33,0,1,0,36,0
59,Moderate,2,0,12,0,0,0,59,2
98,Moderate,0,0,17,0,0,0,98,2
35,Good,0,0,33,0,2,0,35,0
29,Good,0,0,29,0,0,0,13,0
51,Moderate,1,0,29,0,3,0,51,2
103,Unhealthy for Sensitive Groups,4,0,9,0,6,0,103,4
35,Good,1,0,35,0,0,0,17,0
35,Good,1,0,30,0,4,0,35,0
27,Good,0,0,27,0,2,0,21,0
48,Good,1,0,39,0,1,0,48,0
307,Hazardous,1,0,45,0,0,0,307,1
54,Moderate,1,0,25,0,0,0,54,2
61,Moderate,2,0,26,0,16,0,61,2
36,Good,1,0,36,0,1,0,30,0
42,Good,1,0,42,0,2,0,37,0
42,Good,0,0,32,0,1,0,42,0
151,Unhealthy,4,0,45,0,4,0,151,3
102,Unhealthy for Sensitive Groups,1,0,23,0,0,0,102,4
115,Unhealthy for Sensitive Groups,3,0,24,0,2,0,115,4
64,Moderate,1,0,53,1,1,0,64,2
40,Good,1,0,30,0,2,0,40,0
45,Good,1,0,45,0,0,0,38,0
65,Moderate,1,0,34,0,0,0,65,2
17,Good,1,0,13,0,0,0,17,0
52,Moderate,1,0,39,0,1,0,52,2
69,Moderate,1,0,69,1,1,0,60,2
44,Good,1,0,33,0,1,0,44,0
50,Good,1,0,41,0,1,0,50,0
72,Moderate,1,0,42,0,1,0,72,2
49,Good,1,0,49,0,1,0,32,0
127,Unhealthy for Sensitive Groups,2,0,65,1,1,0,127,4
125,Unhealthy for Sensitive Groups,2,0,125,3,1,0,82,2
41,Good,1,0,25,0,1,0,41,0
52,Moderate,1,0,34,0,3,0,52,2
47,Good,1,0,47,0,1,0,44,0
36,Good,1,0,36,0,3,0,34,0
155,Unhealthy,1,0,39,0,0,0,155,3
37,Good,1,0,19,0,0,0,37,0
46,Good,1,0,27,0,1,0,46,0
69,Moderate,1,0,42,0,0,0,69,2
64,Moderate,1,0,18,0,12,0,64,2
92,Moderate,2,0,52,1,8,0,92,2
58,Moderate,1,0,43,0,3,0,58,2
41,Good,1,0,41,0,0,0,38,0
35,Good,1,0,20,0,0,0,35,0
88,Moderate,2,0,53,1,1,0,88,2
45,Good,0,0,45,0,0,0,43,0
102,Unhealthy for Sensitive Groups,1,0,38,0,0,0,102,4
58,Moderate,1,0,24,0,7,0,58,2
143,Unhealthy for Sensitive Groups,2,0,35,0,5,0,143,4
187,Unhealthy,2,0,36,0,8,0,187,3
35,Good,1,0,35,0,0,0,17,0
48,Good,1,0,35,0,1,0,48,0
58,Moderate,1,0,29,0,6,0,58,2
65,Moderate,1,0,27,0,8,0,65,2
73,Moderate,2,0,66,1,0,0,73,2
160,Unhealthy,4,0,36,0,13,0,160,3
98,Moderate,3,0,33,0,9,0,98,2
156,Unhealthy,4,0,45,0,10,0,156,3
75,Moderate,2,0,9,0,6,0,75,2
163,Unhealthy,4,0,8,0,18,0,163,3
35,Good,1,0,35,0,0,0,21,0
30,Good,0,0,30,0,2,0,29,0
47,Good,1,0,21,0,2,0,47,0
69,Moderate,1,0,37,0,4,0,69,2
105,Unhealthy for Sensitive Groups,4,0,15,0,4,0,105,4
189,Unhealthy,2,0,9,0,15,0,189,3
64,Moderate,2,0,37,0,8,0,64,2
54,Moderate,1,0,32,0,5,0,54,2
198,Unhealthy,4,0,198,2,3,0,188,3
139,Unhealthy for Sensitive Groups,7,0,13,0,5,0,139,4
55,Moderate,1,0,26,0,3,0,55,2
145,Unhealthy for Sensitive Groups,1,0,46,0,0,0,145,4
80,Moderate,1,0,18,0,10,0,80,2
50,Good,1,0,36,0,1,0,50,0
35,Good,1,0,25,0,3,0,35,0
55,Moderate,1,0,27,0,0,0,55,2
13,Good,1,0,12,0,1,0,13,0
48,Good,1,0,23,0,3,0,48,0
28,Good,0,0,28,0,0,0,13,0
50,Good,1,0,29,0,3,0,50,0
26,Good,0,0,26,0,0,0,20,0
107,Unhealthy for Sensitive Groups,2,0,107,3,5,0,86,2
22,Good,0,0,22,0,0,0,20,0
76,Moderate,3,0,7,0,25,0,76,2
47,Good,1,0,32,0,0,0,47,0
104,Unhealthy for Sensitive Groups,2,0,14,0,1,0,104,4
60,Moderate,1,0,16,0,5,0,60,2
32,Good,1,0,3,0,2,0,32,0
28,Good,1,0,28,0,1,0,15,0
34,Good,0,0,28,0,2,0,34,0
28,Good,1,0,28,0,1,0,19,0
48,Good,1,0,35,0,0,0,48,0
39,Good,1,0,29,0,1,0,39,0
97,Moderate,1,0,14,0,0,0,97,2
75,Moderate,1,0,37,0,0,0,75,2
194,Unhealthy,1,0,44,0,0,0,194,3
104,Unhealthy for Sensitive Groups,3,0,5,0,10,0,104,4
57,Moderate,1,0,40,0,3,0,57,2
41,Good,1,0,41,0,3,0,27,0
37,Good,1,0,16,0,7,0,37,0
59,Moderate,1,0,34,0,0,0,59,2
29,Good,1,0,29,0,2,0,20,0
34,Good,0,0,34,0,1,0,26,0
70,Moderate,1,0,41,0,0,0,70,2
32,Good,0,0,30,0,1,0,32,0
500,Hazardous,1,0,38,0,1,0,466,1
380,Hazardous,31,0,1,0,26,0,380,1
222,Very Unhealthy,12,0,5,0,14,0,222,5
52,Moderate,0,0,28,0,0,0,52,2
76,Moderate,1,0,39,0,0,0,76,2
27,Good,0,0,23,0,0,0,27,0
59,Moderate,1,0,26,0,2,0,59,2
38,Good,0,0,28,0,2,0,38,0
56,Moderate,1,0,23,0,6,0,56,2
127,Unhealthy for Sensitive Groups,1,0,18,0,0,0,127,4
117,Unhealthy for Sensitive Groups,1,0,117,3,1,0,78,2
92,Moderate,2,0,57,1,1,0,92,2
182,Unhealthy,5,0,170,2,5,0,182,3
124,Unhealthy for Sensitive Groups,2,0,32,0,7,0,124,4
68,Moderate,2,0,68,1,6,0,57,2
68,Moderate,1,0,26,0,0,0,68,2
39,Good,1,0,4,0,2,0,39,0
50,Good,1,0,33,0,0,0,50,0
103,Unhealthy for Sensitive Groups,1,0,33,0,6,0,103,4
38,Good,1,0,36,0,5,0,38,0
61,Moderate,1,0,38,0,1,0,61,2
17,Good,0,0,17,0,1,0,17,0
21,Good,0,0,4,0,0,0,21,0
32,Good,1,0,32,0,1,0,20,0
151,Unhealthy,3,0,119,3,1,0,151,3
57,Moderate,1,0,32,0,0,0,57,2
38,Good,1,0,38,0,0,0,35,0
49,Good,1,0,40,0,0,0,49,0
171,Unhealthy,1,0,42,0,0,0,171,3
91,Moderate,1,0,28,0,1,0,91,2
72,Moderate,2,0,4,0,5,0,72,2
153,Unhealthy,2,0,22,0,6,0,153,3
59,Moderate,1,0,25,0,2,0,59,2
157,Unhealthy,0,0,31,0,1,0,157,3
73,Moderate,1,0,32,0,2,0,73,2
71,Moderate,2,0,3,0,6,0,71,2
17,Good,0,0,17,0,0,0,11,0
46,Good,1,0,2,0,0,0,46,0
35,Good,1,0,12,0,9,0,35,0
24,Good,0,0,24,0,1,0,16,0
45,Good,1,0,14,0,2,0,45,0
61,Moderate,1,0,40,0,0,0,61,2
65,Moderate,1,0,12,0,6,0,65,2
112,Unhealthy for Sensitive Groups,1,0,34,0,4,0,112,4
19,Good,0,0,19,0,0,0,11,0
31,Good,0,0,31,0,2,0,22,0
152,Unhealthy,4,0,4,0,19,0,152,3
31,Good,1,0,21,0,1,0,31,0
37,Good,1,0,12,0,1,0,37,0
13,Good,1,0,12,0,0,0,13,0
41,Good,1,0,8,0,3,0,41,0
103,Unhealthy for Sensitive Groups,2,0,28,0,9,0,103,4
52,Moderate,1,0,35,0,0,0,52,2
30,Good,0,0,30,0,2,0,13,0
73,Moderate,0,0,25,0,0,0,73,2
42,Good,1,0,2,0,4,0,42,0
35,Good,0,0,35,0,0,0,30,0
46,Good,1,0,25,0,5,0,46,0
93,Moderate,1,0,27,0,4,0,93,2
63,Moderate,2,0,13,0,0,0,63,2
160,Unhealthy,0,0,39,0,0,0,160,3
39,Good,1,0,26,0,1,0,39,0
56,Moderate,1,0,18,0,6,0,56,2
105,Unhealthy for Sensitive Groups,2,0,13,0,2,0,105,4
93,Moderate,2,0,90,1,1,0,93,2
45,Good,0,0,22,0,0,0,45,0
54,Moderate,1,0,8,0,1,0,54,2
36,Good,0,0,29,0,2,0,36,0
50,Good,1,0,35,0,5,0,50,0
153,Unhealthy,1,0,34,0,0,0,153,3
48,Good,1,0,36,0,5,0,48,0
24,Good,0,0,24,0,0,0,24,0
132,Unhealthy for Sensitive Groups,3,0,44,0,4,0,132,4
179,Unhealthy,3,0,179,2,2,0,166,3
124,Unhealthy for Sensitive Groups,1,0,36,0,1,0,124,4
202,Very Unhealthy,0,0,34,0,0,0,202,5
151,Unhealthy,1,0,26,0,1,0,151,3
92,Moderate,2,0,45,0,0,0,92,2
39,Good,1,0,5,0,0,0,39,0
48,Good,1,0,39,0,1,0,48,0
52,Moderate,2,0,17,0,0,0,52,2
104,Unhealthy for Sensitive Groups,1,0,16,0,2,0,104,4
51,Moderate,1,0,27,0,1,0,51,2
91,Moderate,1,0,49,0,0,0,91,2
167,Unhealthy,1,0,32,0,0,0,167,3
38,Good,0,0,20,0,0,0,38,0
57,Moderate,0,0,25,0,0,0,57,2
41,Good,1,0,27,0,5,0,41,0
78,Moderate,1,0,11,0,12,0,78,2
47,Good,1,0,46,0,2,0,47,0
29,Good,0,0,29,0,3,0,18,0
60,Moderate,1,0,34,0,1,0,60,2
37,Good,1,0,32,0,3,0,37,0
61,Moderate,2,0,2,0,9,0,61,2
67,Moderate,2,0,20,0,5,0,67,2
46,Good,1,0,17,0,2,0,46,0
79,Moderate,2,0,13,0,27,0,79,2
53,Moderate,1,0,24,0,9,0,53,2
81,Moderate,1,0,18,0,0,0,81,2
39,Good,1,0,38,0,2,0,39,0
34,Good,1,0,34,0,2,0,27,0
42,Good,1,0,41,0,0,0,42,0
41,Good,2,0,36,0,5,0,41,0
47,Good,1,0,36,0,0,0,47,0
32,Good,1,0,27,0,4,0,32,0
25,Good,0,0,6,0,1,0,25,0
35,Good,1,0,35,0,0,0,15,0
36,Good,1,0,26,0,3,0,36,0
73,Moderate,2,0,26,0,7,0,73,2
52,Moderate,1,0,22,0,11,0,52,2
35,Good,1,0,32,0,1,0,35,0
94,Moderate,3,0,9,0,11,0,94,2
71,Moderate,3,0,18,0,0,0,71,2
61,Moderate,2,0,3,0,5,0,61,2
80,Moderate,2,0,22,0,1,0,80,2
101,Unhealthy for Sensitive Groups,1,0,60,1,0,0,101,4
48,Good,1,0,45,0,0,0,48,0
156,Unhealthy,1,0,33,0,0,0,156,3
30,Good,0,0,28,0,0,0,30,0
27,Good,0,0,27,0,0,0,10,0
57,Moderate,0,0,30,0,0,0,57,2
55,Moderate,1,0,20,0,0,0,55,2
54,Moderate,1,0,35,0,0,0,54,2
69,Moderate,1,0,45,0,4,0,69,2
76,Moderate,3,0,32,0,2,0,76,2
74,Moderate,3,0,29,0,2,0,74,2
36,Good,1,0,2,0,0,0,36,0
51,Moderate,1,0,7,0,4,0,51,2
41,Good,1,0,18,0,1,0,41,0
56,Moderate,1,0,44,0,4,0,56,2
58,Moderate,1,0,43,0,5,0,58,2
45,Good,1,0,32,0,7,0,45,0
50,Good,1,0,41,0,0,0,50,0
68,Moderate,0,0,24,0,0,0,68,2
46,Good,1,0,46,0,2,0,31,0
67,Moderate,1,0,44,0,2,0,67,2
77,Moderate,3,0,7,0,8,0,77,2
63,Moderate,1,0,33,0,1,0,63,2
42,Good,0,0,19,0,0,0,42,0
59,Moderate,1,0,27,0,0,0,59,2
35,Good,0,0,17,0,0,0,35,0
444,Hazardous,2,0,111,3,1,0,391,1
60,Moderate,2,0,60,1,3,0,55,2
48,Good,1,0,48,0,0,0,12,0
32,Good,1,0,32,0,0,0,26,0
56,Moderate,0,0,32,0,1,0,56,2
32,Good,1,0,32,0,1,0,30,0
29,Good,0,0,29,0,2,0,29,0
28,Good,0,0,19,0,0,0,28,0
34,Good,1,0,25,0,2,0,34,0
18,Good,0,0,8,0,0,0,18,0
68,Moderate,1,0,32,0,1,0,68,2
89,Moderate,1,0,22,0,1,0,89,2
208,Very Unhealthy,3,0,152,2,1,0,208,5
58,Moderate,2,0,29,0,12,0,58,2
53,Moderate,1,0,40,0,6,0,53,2
35,Good,1,0,35,0,3,0,34,0
37,Good,1,0,25,0,2,0,37,0
35,Good,1,0,32,0,3,0,35,0
39,Good,1,0,25,0,2,0,39,0
122,Unhealthy for Sensitive Groups,1,0,49,0,0,0,122,4
40,Good,1,0,40,0,2,0,34,0
58,Moderate,0,0,32,0,1,0,58,2
303,Hazardous,1,0,48,0,0,0,260,5
30,Good,0,0,16,0,1,0,30,0
193,Unhealthy,0,0,38,0,0,0,193,3
36,Good,1,0,36,0,0,0,30,0
49,Good,1,0,30,0,0,0,49,0
32,Good,1,0,14,0,1,0,32,0
28,Good,1,0,22,0,4,0,28,0
21,Good,1,0,21,0,1,0,13,0
63,Moderate,2,0,40,0,0,0,63,2
30,Good,1,0,1,0,0,0,30,0
32,Good,1,0,30,0,1,0,32,0
48,Good,1,0,5,0,4,0,48,0
80,Moderate,1,0,62,1,4,0,80,2
182,Unhealthy,14,0,1,0,23,0,182,3
356,Hazardous,1,0,60,1,0,0,284,5
62,Moderate,1,0,44,0,5,0,62,2
191,Unhealthy,2,0,133,3,2,0,191,3
150,Unhealthy,1,0,41,0,0,0,150,3
53,Moderate,0,0,27,0,0,0,53,2
226,Very Unhealthy,1,0,48,0,1,0,226,5
16,Good,0,0,12,0,0,0,16,0
34,Good,1,0,34,0,1,0,17,0
30,Good,1,0,27,0,2,0,30,0
55,Moderate,2,0,26,0,12,0,55,2
73,Moderate,1,0,20,0,1,0,73,2
46,Good,1,0,46,0,0,0,14,0
48,Good,1,0,16,0,0,0,48,0
103,Unhealthy for Sensitive Groups,1,0,25,0,1,0,103,4
46,Good,0,0,30,0,2,0,46,0
43,Good,1,0,43,0,2,0,39,0
52,Moderate,1,0,44,0,4,0,52,2
500,Hazardous,1,0,40,0,0,0,464,1
36,Good,0,0,16,0,0,0,36,0
39,Good,0,0,39,0,0,0,23,0
58,Moderate,1,0,25,0,9,0,58,2
24,Good,0,0,7,0,1,0,24,0
52,Moderate,1,0,4,0,3,0,52,2
56,Moderate,1,0,21,0,6,0,56,2
76,Moderate,2,0,15,0,17,0,76,2
95,Moderate,3,0,23,0,8,0,95,2
25,Good,1,0,3,0,0,0,25,0
40,Good,1,0,30,0,1,0,40,0
78,Moderate,1,0,46,0,1,0,78,2
47,Good,1,0,47,0,2,0,27,0
42,Good,1,0,31,0,1,0,42,0
39,Good,1,0,14,0,2,0,39,0
37,Good,1,0,30,0,1,0,37,0
50,Good,1,0,23,0,0,0,50,0
190,Unhealthy,2,0,98,1,1,0,190,3
62,Moderate,1,0,18,0,13,0,62,2
152,Unhealthy,0,0,29,0,0,0,152,3
56,Moderate,1,0,31,0,0,0,56,2
145,Unhealthy for Sensitive Groups,2,0,145,3,3,0,82,2
292,Very Unhealthy,3,0,136,3,3,0,292,5
20,Good,0,0,14,0,0,0,20,0
153,Unhealthy,0,0,29,0,0,0,153,3
25,Good,0,0,9,0,1,0,25,0
38,Good,1,0,19,0,2,0,38,0
158,Unhealthy,0,0,25,0,0,0,158,3
34,Good,1,0,34,0,0,0,10,0
46,Good,1,0,29,0,0,0,46,0
173,Unhealthy,3,0,159,2,1,0,173,3
44,Good,1,0,33,0,0,0,44,0
39,Good,1,0,39,0,0,0,12,0
101,Unhealthy for Sensitive Groups,3,0,18,0,2,0,101,4
37,Good,1,0,37,0,0,0,30,0
60,Moderate,1,0,22,0,3,0,60,2
23,Good,0,0,17,0,0,0,23,0
93,Moderate,1,0,24,0,5,0,93,2
28,Good,1,0,28,0,8,0,25,0
91,Moderate,2,0,22,0,3,0,91,2
39,Good,1,0,22,0,1,0,39,0
66,Moderate,1,0,10,0,5,0,66,2
6,Good,0,0,5,0,0,0,6,0
44,Good,1,0,27,0,10,0,44,0
153,Unhealthy,3,0,153,2,1,0,152,3
42,Good,1,0,42,0,0,0,12,0
62,Moderate,1,0,32,0,4,0,62,2
35,Good,1,0,22,0,6,0,35,0
27,Good,1,0,25,0,3,0,27,0
19,Good,0,0,18,0,0,0,19,0
198,Unhealthy,3,0,91,1,3,0,198,3
175,Unhealthy,1,0,51,1,1,0,175,3
33,Good,1,0,33,0,1,0,28,0
194,Unhealthy,1,0,46,0,0,0,194,3
500,Hazardous,1,0,47,0,1,0,500,1
37,Good,1,0,3,0,3,0,37,0
30,Good,0,0,30,0,2,0,27,0
61,Moderate,1,0,10,0,16,0,61,2
32,Good,1,0,24,0,3,0,32,0
84,Moderate,1,0,45,0,0,0,84,2
33,Good,1,0,33,0,1,0,21,0
44,Good,1,0,44,0,0,0,15,0
68,Moderate,1,0,39,0,1,0,68,2
57,Moderate,2,0,21,0,11,0,57,2
29,Good,1,0,29,0,2,0,27,0
30,Good,1,0,30,0,3,0,25,0
35,Good,1,0,22,0,1,0,35,0
37,Good,1,0,21,0,4,0,37,0
76,Moderate,3,0,8,0,1,0,76,2
90,Moderate,3,0,46,0,3,0,90,2
34,Good,1,0,26,0,9,0,34,0
65,Moderate,1,0,30,0,1,0,65,2
29,Good,0,0,28,0,2,0,29,0
37,Good,1,0,27,0,8,0,37,0
72,Moderate,1,0,29,0,3,0,72,2
169,Unhealthy,7,0,0,0,21,0,169,3
36,Good,1,0,25,0,3,0,36,0
46,Good,1,0,37,0,2,0,46,0
71,Moderate,1,0,71,1,3,0,49,0
29,Good,0,0,29,0,2,0,26,0
77,Moderate,1,0,43,0,6,0,77,2
48,Good,0,0,24,0,0,0,48,0
57,Moderate,1,0,19,0,10,0,57,2
53,Moderate,1,0,38,0,2,0,53,2
30,Good,0,0,25,0,3,0,30,0
31,Good,0,0,30,0,1,0,31,0
27,Good,0,0,19,0,0,0,27,0
30,Good,0,0,28,0,2,0,30,0
120,Unhealthy for Sensitive Groups,1,0,30,0,0,0,120,4
25,Good,0,0,24,0,2,0,25,0
57,Moderate,2,0,22,0,14,0,57,2
66,Moderate,1,0,28,0,1,0,66,2
70,Moderate,1,0,21,0,0,0,70,2
105,Unhealthy for Sensitive Groups,1,0,49,0,0,0,105,4
12,Good,1,0,12,0,0,0,11,0
25,Good,0,0,25,0,0,0,12,0
129,Unhealthy for Sensitive Groups,0,0,30,0,0,0,129,4
32,Good,1,0,27,0,3,0,32,0
42,Good,1,0,28,0,0,0,42,0
34,Good,1,0,13,0,1,0,34,0
60,Moderate,2,0,8,0,4,0,60,2
33,Good,0,0,33,0,1,0,26,0
37,Good,1,0,12,0,13,0,37,0
50,Good,1,0,20,0,0,0,50,0
46,Good,1,0,26,0,2,0,46,0
31,Good,0,0,28,0,1,0,31,0
95,Moderate,9,0,95,1,0,0,46,0
192,Unhealthy,4,0,192,2,6,0,124,4
49,Good,1,0,24,0,2,0,49,0
31,Good,0,0,31,0,2,0,31,0
34,Good,0,0,29,0,3,0,34,0
32,Good,0,0,27,0,3,0,32,0
100,Unhealthy for Sensitive Groups,1,0,16,0,0,0,100,4
176,Unhealthy,2,0,21,0,3,0,176,3
35,Good,1,0,20,0,3,0,35,0
32,Good,1,0,32,0,1,0,28,0
98,Moderate,2,0,47,0,0,0,98,2
32,Good,1,0,29,0,0,0,32,0
164,Unhealthy,1,0,35,0,0,0,164,3
61,Moderate,1,0,29,0,1,0,61,2
16,Good,1,0,12,0,0,0,16,0
167,Unhealthy,1,0,49,0,1,0,167,3
117,Unhealthy for Sensitive Groups,4,0,14,0,7,0,117,4
56,Moderate,1,0,25,0,2,0,56,2
50,Good,0,0,23,0,0,0,50,0
119,Unhealthy for Sensitive Groups,1,0,35,0,0,0,119,4
